iter	Passed	Remaining
0	137	136866
1	143	71645
2	149	49645
3	154	38402
4	159	31708
5	164	27255
6	169	24000
7	174	21642
8	179	19792
9	184	18270
10	190	17170
11	196	16183
12	201	15329
13	207	14623
14	213	13992
15	219	13496
16	225	13043
17	231	12634
18	237	12257
19	242	11886
20	247	11543
21	253	11259
22	259	11014
23	265	10779
24	271	10586
25	277	10394
26	282	10177
27	289	10035
28	295	9879
29	301	9744
30	307	9619
31	313	9476
32	319	9355
33	325	9249
34	330	9121
35	337	9034
36	343	8938
37	349	8841
38	355	8755
39	360	8663
40	366	8569
41	372	8489
42	377	8404
43	383	8343
44	390	8288
45	396	8225
46	402	8169
47	407	8091
48	412	8013
49	419	7963
50	424	7906
51	430	7843
52	435	7777
53	440	7716
54	445	7658
55	452	7628
56	457	7568
57	462	7518
58	467	7458
59	472	7404
60	477	7355
61	482	7303
62	487	7247
63	491	7193
64	497	7149
65	501	7101
66	506	7054
67	511	7015
68	516	6969
69	521	6926
70	526	6892
71	531	6856
72	536	6816
73	541	6782
74	549	6774
75	555	6750
76	561	6735
77	568	6717
78	574	6700
79	582	6702
80	588	6672
81	593	6643
82	598	6613
83	603	6579
84	608	6545
85	613	6521
86	618	6490
87	623	6459
88	629	6439
89	633	6409
90	638	6377
91	644	6360
92	649	6333
93	654	6304
94	659	6287
95	664	6259
96	669	6233
97	675	6216
98	680	6195
99	685	6170
100	690	6149
101	696	6130
102	701	6104
103	705	6080
104	711	6066
105	716	6042
106	721	6020
107	726	6001
108	731	5980
109	736	5961
110	742	5947
111	748	5931
112	753	5912
113	759	5901
114	764	5885
115	769	5864
116	775	5849
117	780	5831
118	785	5812
119	790	5794
120	795	5780
121	800	5761
122	806	5748
123	811	5730
124	815	5709
125	820	5692
126	825	5676
127	830	5657
128	835	5640
129	841	5628
130	846	5612
131	851	5597
132	857	5587
133	862	5573
134	866	5554
135	872	5540
136	877	5526
137	882	5509
138	887	5495
139	892	5481
140	897	5466
141	902	5452
142	908	5444
143	913	5431
144	918	5417
145	924	5410
146	929	5395
147	934	5381
